Race,Gender,Country,EducationType,MajorUndergraduate,DeveloperType,CompetePeers,CompanySize,CompanyType,JobSatisfaction
White or of European descent,Male,Estonia,Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Gender non-conforming,United States,On-the-job training; Self-taught; Open source contributions,A natural science,Web developer; Developer with a statistics or mathematics background; Data scientist,Strongly disagree,10 000 or more employees,Publicly-traded corporation,8
White or of European descent,Male,Finland,On-the-job training; Self-taught; Hackathon; Open source contributions,Computer programming or Web development,Web developer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,United Kingdom,Self-taught,A social science,Web developer,Strongly disagree,10 to 19 employees,Privately-held limited company  not in startup mode,4
White or of European descent,Male,United States,Online course; Part-time/evening course; On-the-job training; Self-taught; Coding competition,A non-computer-focused engineering discipline,Web developer; Desktop applications developer,Disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,United Kingdom,Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Graphics programming; Developer with a statistics or mathematics background; Data scientist; Graphic designer; Desktop applications developer; Database administrator,Strongly agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,4
White or of European descent,Male,Denmark,Self-taught,Computer science or software engineering,Machine learning specialist; Data scientist,Strongly agree,100 to 499 employees,I don't know,10
White or of European descent,Male,France,Industry certification; On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer,Somewhat agree,10 to 19 employees,I don't know,7
White or of European descent,Male,United States,Self-taught,Mathematics or statistics,Web developer; Embedded applications/devices developer; Developer with a statistics or mathematics background,Strongly disagree,Fewer than 10 employees,Sole proprietorship or partnership  not in startup mode,7
Middle Eastern,Male,Israel,On-the-job training; Self-taught,Computer science or software engineering,Web developer; Data scientist,Agree,5 000 to 9 999 employees,Government agency or public school/university,6
White or of European descent,Male,United States,Online course; Self-taught; Hackathon,Computer science or software engineering,Web developer,Strongly disagree,500 to 999 employees,Non-profit/non-governmental organization or private school/university,9
White or of European descent,Male,United States,Self-taught,Computer science or software engineering,Web developer; Database administrator; Systems administrator; DevOps specialist,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male,United Kingdom,Online course; On-the-job training; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Web developer,Disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,Sweden,Self-taught; Open source contributions,Computer science or software engineering,Web developer,Disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,On-the-job training; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,Netherlands,Online course; Self-taught,Computer programming or Web development,Web developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Female,Germany,Self-taught; Open source contributions,Computer science or software engineering,Developer with a statistics or mathematics background,Disagree,5 000 to 9 999 employees,Pre-series A startup,3
White or of European descent,Male,United States,Online course; On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Other,Agree,100 to 499 employees,Non-profit/non-governmental organization or private school/university,10
White or of European descent,Male,Serbia,Self-taught,Computer engineering or electrical/electronics engineering,Mobile developer,Somewhat agree,10 to 19 employees,Sole proprietorship or partnership  not in startup mode,9
White or of European descent,Male,United States,On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer,Disagree,500 to 999 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Uruguay,Self-taught; Open source contributions,Computer science or software engineering,Web developer,Strongly disagree,100 to 499 employees,Venture-funded startup,10
White or of European descent,Male,United States,Self-taught,Something else,Other,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Netherlands,Online course; On-the-job training; Self-taught,Computer programming or Web development,Web developer,Somewhat agree,10 to 19 employees,Privately-held limited company  not in startup mode,8
