Race,Gender,Country,EducationType,MajorUndergraduate,DeveloperType,CompetePeers,CompanySize,CompanyType,JobSatisfaction
White or of European descent,Male,United Kingdom,Online course; Industry certification; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Mobile developer; Embedded applications/devices developer; DevOps specialist,Agree,5 000 to 9 999 employees,Publicly-traded corporation,8
White or of European descent,Male,Ukraine,Part-time/evening course; Self-taught,Computer programming or Web development,Web developer; Systems administrator; DevOps specialist,Agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United States,Online course; Self-taught; Coding competition,Something else,Other,Strongly agree,Fewer than 10 employees,Venture-funded startup,8
White or of European descent,Male,United States,Self-taught,Computer science or software engineering,Mobile developer; Desktop applications developer,Disagree,10 to 19 employees,I don't know,9
White or of European descent,Male,Serbia,Self-taught,Computer science or software engineering,Mobile developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,7
Hispanic or Latino/Latina,Male,Dominican Republic,Online course; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer,Strongly disagree,Fewer than 10 employees,Pre-series A startup,2
White or of European descent,Male,Australia,On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer; Other,Somewhat agree,20 to 99 employees,I don't know,8
White or of European descent,Female,Estonia,Online course; On-the-job training; Self-taught,A social science,Web developer; Desktop applications developer,Strongly disagree,10 to 19 employees,Venture-funded startup,10
White or of European descent,Male,Canada,Self-taught,Computer programming or Web development,Web developer; Data scientist,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,4
White or of European descent,Male,Germany,Self-taught; Open source contributions,Fine arts or performing arts,Web developer,Agree,100 to 499 employees,Venture-funded startup,8
White or of European descent,Male,Australia,Online course; Part-time/evening course; Self-taught,Computer science or software engineering,Web developer,Disagree,100 to 499 employees,Non-profit/non-governmental organization or private school/university,8
White or of European descent,Gender non-conforming,Poland,Online course; Self-taught; Open source contributions,Computer science or software engineering,Developer with a statistics or mathematics background; Data scientist; Systems administrator; DevOps specialist,Somewhat agree,10 000 or more employees,Government agency or public school/university,7
White or of European descent,Male,United States,On-the-job training; Self-taught; Coding competition,Computer programming or Web development,Web developer; Machine learning specialist; Desktop applications developer; Database administrator,Strongly agree,10 000 or more employees,Non-profit/non-governmental organization or private school/university,3
White or of European descent,Male,Poland,Self-taught; Coding competition,Computer science or software engineering,Developer with a statistics or mathematics background; Data scientist; Database administrator,Somewhat agree,Fewer than 10 employees,I don't know,9
White or of European descent,Female,United States,Self-taught; Coding competition; Open source contributions,A natural science,Developer with a statistics or mathematics background; Desktop applications developer; Other,Disagree,100 to 499 employees,I don't know,6
White or of European descent,Male,Australia,Online course; Self-taught; Open source contributions,A natural science,DevOps specialist; Other,Strongly disagree,1 000 to 4 999 employees,Publicly-traded corporation,9
East Asian,Male,United States,Part-time/evening course; On-the-job training; Self-taught; Hackathon,Computer engineering or electrical/electronics engineering,Web developer; Desktop applications developer,Agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Canada,On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Mobile developer; Systems administrator; DevOps specialist,Disagree,100 to 499 employees,Venture-funded startup,8
Hispanic or Latino/Latina,Male,Argentina,Self-taught,Computer engineering or electrical/electronics engineering,Web developer,Disagree,Fewer than 10 employees,Sole proprietorship or partnership  not in startup mode,9
White or of European descent,Male,United States,Self-taught; Coding competition; Hackathon,Mathematics or statistics,Web developer; Developer with a statistics or mathematics background,Somewhat agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,United States,Online course; Part-time/evening course; On-the-job training,Mathematics or statistics,Developer with a statistics or mathematics background,Disagree,1 000 to 4 999 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,United States,Self-taught,Information technology  networking  or system administration,Web developer,Somewhat agree,10 000 or more employees,Publicly-traded corporation,2
White or of European descent,Male,United States,Online course; Bootcamp; On-the-job training; Self-taught; Hackathon,Computer programming or Web development,Web developer,Somewhat agree,1 000 to 4 999 employees,Sole proprietorship or partnership  not in startup mode,8
White or of European descent,Male,Uruguay,On-the-job training; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Developer with a statistics or mathematics background,Agree,1 000 to 4 999 employees,Non-profit/non-governmental organization or private school/university,10
White or of European descent,Male,Slovak Republic,Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer,Disagree,20 to 99 employees,Pre-series A startup,8
White or of European descent,Male,Bulgaria,Online course; Part-time/evening course,A business discipline,Web developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Australia,Online course; On-the-job training; Open source contributions,Something else,Web developer; Graphic designer,Somewhat agree,500 to 999 employees,Publicly-traded corporation,8
East Asian; Hispanic or Latino/Latina; White or of European descent,Female,United States,Online course; On-the-job training; Open source contributions,Computer science or software engineering,Web developer; Mobile developer; Graphic designer; Desktop applications developer; Other,Disagree,500 to 999 employees,Government agency or public school/university,6
White or of European descent,Female,Poland,Industry certification; Self-taught,Computer science or software engineering,Web developer,Somewhat agree,10 000 or more employees,I prefer not to answer,3
White or of European descent,Male,Germany,On-the-job training; Self-taught,Computer science or software engineering,Embedded applications/devices developer,Disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,9
Hispanic or Latino/Latina,Male,Colombia,Online course; Part-time/evening course; On-the-job training; Hackathon,Computer science or software engineering,Web developer,Disagree,1 000 to 4 999 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,Australia,On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Web developer,Disagree,1 000 to 4 999 employees,Publicly-traded corporation,9
Hispanic or Latino/Latina,Male,Dominican Republic,Online course; Part-time/evening course; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Desktop applications developer; Quality assurance engineer,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Sweden,Online course; Self-taught,Computer science or software engineering,Web developer; Data scientist; Systems administrator,Agree,100 to 499 employees,Publicly-traded corporation,8
White or of European descent,Male,Germany,Self-taught; Open source contributions,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,Strongly disagree,20 to 99 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,United States,Online course; Part-time/evening course; On-the-job training; Self-taught; Hackathon,Management information systems,Web developer,Somewhat agree,1 000 to 4 999 employees,Publicly-traded corporation,9
White or of European descent,Male,United States,Bootcamp; Part-time/evening course; On-the-job training; Self-taught; Coding competition; Open source contributions,Computer engineering or electrical/electronics engineering,Other,Agree,100 to 499 employees,Government agency or public school/university,7
White or of European descent,Male,Poland,Self-taught; Coding competition,Computer science or software engineering,Web developer; Desktop applications developer; DevOps specialist,Disagree,10 000 or more employees,Privately-held limited company  not in startup mode,9
East Asian,Male,United States,Online course; Self-taught; Hackathon,A natural science,Web developer,Disagree,20 to 99 employees,Venture-funded startup,9
White or of European descent,Male,Germany,Self-taught; Coding competition,Computer science or software engineering,Quality assurance engineer,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,9
Black or of African descent,Male,Nigeria,Online course; Part-time/evening course; On-the-job training; Self-taught; Coding competition,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background; Data scientist,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,4
White or of European descent,Male,United States,Online course; Bootcamp; Part-time/evening course; Industry certification; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Embedded applications/devices developer; Desktop applications developer; Systems administrator; DevOps specialist,Strongly disagree,100 to 499 employees,Privately-held limited company  not in startup mode,5
Hispanic or Latino/Latina,Male,Brazil,Self-taught; Hackathon,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background; Data scientist,Strongly disagree,1 000 to 4 999 employees,Publicly-traded corporation,10
White or of European descent,Male,United Kingdom,On-the-job training; Self-taught,Computer science or software engineering,Web developer,Disagree,I don't know,Publicly-traded corporation,8
White or of European descent,Male,United States,Online course; On-the-job training; Hackathon,A natural science,Database administrator,Somewhat agree,1 000 to 4 999 employees,Publicly-traded corporation,7
White or of European descent,Male,United States,Online course; On-the-job training; Self-taught,A humanities discipline,Web developer; Systems administrator,Disagree,10 to 19 employees,Privately-held limited company  not in startup mode,0
White or of European descent,Male,United States,Online course; Part-time/evening course; Industry certification; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Mathematics or statistics,Web developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,Disagree,1 000 to 4 999 employees,Publicly-traded corporation,7
White or of European descent,Male,Netherlands,Self-taught,Computer science or software engineering,Web developer; Mobile developer; Database administrator; Systems administrator; DevOps specialist,Agree,Fewer than 10 employees,Pre-series A startup,8
White or of European descent,Female,Australia,Self-taught; Coding competition; Hackathon,Information technology  networking  or system administration,Web developer; Mobile developer; Developer with a statistics or mathematics background,Strongly agree,500 to 999 employees,Sole proprietorship or partnership  not in startup mode,3
White or of European descent,Male,Australia,On-the-job training; Self-taught; Hackathon; Open source contributions,Information technology  networking  or system administration,Web developer; Systems administrator,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United Kingdom,Online course; Self-taught; Coding competition; Hackathon; Open source contributions,Mathematics or statistics,Web developer; Mobile developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; Database administrator,Disagree,5 000 to 9 999 employees,Publicly-traded corporation,8
White or of European descent,Male,Spain,Self-taught; Open source contributions,Computer science or software engineering,Web developer; Systems administrator; DevOps specialist,Disagree,Fewer than 10 employees,Venture-funded startup,9
White or of European descent,Male,Poland,Bootcamp; On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Web developer; DevOps specialist,Somewhat agree,10 to 19 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,United States,Self-taught,Management information systems,Web developer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United States,Self-taught,Something else,Web developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,Agree,10 000 or more employees,Publicly-traded corporation,2
Black or of African descent,Male,Namibia,Online course; Part-time/evening course; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Mobile developer; Desktop applications developer,Agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,2
Middle Eastern,Male,Canada,Industry certification; Self-taught,Computer science or software engineering,Web developer; Desktop applications developer,Strongly disagree,20 to 99 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Serbia,Online course; Self-taught,Information technology  networking  or system administration,Mobile developer; Graphics programming; Machine learning specialist; Other,Agree,20 to 99 employees,I don't know,8
White or of European descent,Male,United States,Online course; Self-taught; Hackathon,Computer programming or Web development,Web developer,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Belgium,Online course; Bootcamp; Part-time/evening course; On-the-job training; Self-taught; Hackathon,A business discipline,Web developer,Agree,Fewer than 10 employees,Pre-series A startup,7
White or of European descent,Male,United States,On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United States,Industry certification; On-the-job training; Self-taught,Management information systems,Web developer; Mobile developer; Desktop applications developer,Somewhat agree,1 000 to 4 999 employees,Government agency or public school/university,9
White or of European descent,Male,United States,On-the-job training; Self-taught; Open source contributions,A natural science,Web developer; Mobile developer; Embedded applications/devices developer; Data scientist,Somewhat agree,100 to 499 employees,Sole proprietorship or partnership  not in startup mode,8
White or of European descent,Male,United Kingdom,Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer; Data scientist; Desktop applications developer; DevOps specialist,Agree,100 to 499 employees,I don't know,8
White or of European descent,Male,Iceland,On-the-job training; Self-taught,Computer science or software engineering,Other,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,Self-taught; Coding competition,Computer science or software engineering,Web developer; Desktop applications developer; Systems administrator,Somewhat agree,100 to 499 employees,I don't know,8
South Asian,Male,United Arab Emirates,Self-taught; Coding competition; Hackathon,Information technology  networking  or system administration,Web developer; Mobile developer,Strongly agree,Fewer than 10 employees,Pre-series A startup,9
White or of European descent,Male,United States,Self-taught; Open source contributions,I never declared a major,Web developer; Database administrator; Systems administrator; DevOps specialist,Strongly disagree,Fewer than 10 employees,Venture-funded startup,7
White or of European descent,Male,United States,On-the-job training; Open source contributions,Mathematics or statistics,Web developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Ireland,Self-taught,Management information systems,Web developer,Disagree,Fewer than 10 employees,Venture-funded startup,8
White or of European descent,Female,United Kingdom,Industry certification; Self-taught,Psychology,Web developer,Disagree,100 to 499 employees,I don't know,7
South Asian,Male,United States,Online course; Industry certification; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Web developer,Agree,10 000 or more employees,Publicly-traded corporation,9
White or of European descent,Male,Canada,On-the-job training; Self-taught,Computer engineering or electrical/electronics engineering,Web developer; Embedded applications/devices developer; Systems administrator; DevOps specialist,Agree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,6
White or of European descent,Male,Brazil,Online course; Part-time/evening course; On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer,Strongly disagree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,New Zealand,On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Mobile developer,Disagree,20 to 99 employees,I prefer not to answer,8
White or of European descent,Male,United States,Online course; Part-time/evening course; Industry certification; On-the-job training; Self-taught,Information technology  networking  or system administration,Web developer; Desktop applications developer,Strongly agree,1 000 to 4 999 employees,Government agency or public school/university,8
South Asian,Male,Australia,Self-taught,Computer science or software engineering,Web developer,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Canada,Online course; On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Other,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,Online course; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer,Agree,10 000 or more employees,Publicly-traded corporation,7
White or of European descent,Male,Tunisia,Self-taught,Information technology  networking  or system administration,Web developer,Disagree,10 to 19 employees,Pre-series A startup,5
White or of European descent,Male,United States,Self-taught,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background; Data scientist; Database administrator,Agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,Poland,Online course; Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Mobile developer,Somewhat agree,20 to 99 employees,I prefer not to answer,6
White or of European descent,Male,United States,Online course; Part-time/evening course; On-the-job training; Self-taught; Hackathon,Something else,Web developer,Disagree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,8
White or of European descent,Male,Australia,Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer,Somewhat agree,1 000 to 4 999 employees,Publicly-traded corporation,5
White or of European descent,Male,Ukraine,Self-taught; Open source contributions,Computer programming or Web development,Web developer,Somewhat agree,10 to 19 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male,United States,Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Embedded applications/devices developer,Strongly disagree,500 to 999 employees,I don't know,3
White or of European descent,Female,Australia,Self-taught,Something else,Other,Disagree,5 000 to 9 999 employees,Non-profit/non-governmental organization or private school/university,8
Black or of African descent,Male,United States,Online course; On-the-job training; Self-taught,Computer science or software engineering,Web developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Australia,Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,Disagree,10 to 19 employees,Privately-held limited company  not in startup mode,4
Hispanic or Latino/Latina,Male,Peru,Online course; Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer,Strongly agree,10 to 19 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,Self-taught; Coding competition; Hackathon,Management information systems,Web developer; Mobile developer,Strongly agree,10 000 or more employees,Publicly-traded corporation,5
South Asian,Male,United States,Online course; On-the-job training; Self-taught,A non-computer-focused engineering discipline,Web developer; Mobile developer; DevOps specialist,Somewhat agree,1 000 to 4 999 employees,Publicly-traded corporation,7
White or of European descent,Male,United States,Online course; On-the-job training; Self-taught; Coding competition,Computer science or software engineering,Mobile developer,Disagree,1 000 to 4 999 employees,Publicly-traded corporation,7
I prefer not to say,Male,United States,Self-taught,Computer science or software engineering,Web developer; Desktop applications developer; Database administrator; DevOps specialist,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male,Canada,On-the-job training; Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer; Mobile developer,Disagree,20 to 99 employees,Venture-funded startup,10
White or of European descent,Female,United States,Self-taught; Hackathon,Mathematics or statistics,Web developer; Developer with a statistics or mathematics background,Agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United States,Online course; On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; DevOps specialist; Other,Disagree,5 000 to 9 999 employees,Publicly-traded corporation,8
East Asian,Male,United States,Self-taught; Coding competition,Computer science or software engineering,Web developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,United States,On-the-job training; Self-taught; Hackathon; Open source contributions,A non-computer-focused engineering discipline,Web developer,Strongly disagree,10 to 19 employees,Venture-funded startup,7
White or of European descent,Male,United States,Online course; Part-time/evening course; Industry certification; On-the-job training; Self-taught,Management information systems,Desktop applications developer; Database administrator; Systems administrator,Somewhat agree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,8
White or of European descent,Male,Portugal,Part-time/evening course; Self-taught,Computer programming or Web development,Web developer,Strongly agree,Fewer than 10 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,United States,Online course; Bootcamp; Part-time/evening course; Industry certification; On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Desktop applications developer,Agree,10 000 or more employees,Publicly-traded corporation,8
East Asian,Male,China,Online course; Self-taught; Coding competition,Computer science or software engineering,Desktop applications developer,Agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,7
Hispanic or Latino/Latina; White or of European descent,Male,United States,Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background,Agree,20 to 99 employees,Venture-funded startup,8
Middle Eastern,Male,Malaysia,Online course; Self-taught; Open source contributions,Computer science or software engineering,Web developer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,4
White or of European descent,Male,Australia,Online course; On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,United States,Industry certification; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer; Mobile developer,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United States,Self-taught,A non-computer-focused engineering discipline,Web developer; Database administrator; Systems administrator; Other,Disagree,100 to 499 employees,I don't know,8
White or of European descent,Male,United States,On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Other,Disagree,500 to 999 employees,Publicly-traded corporation,6
East Asian,Male,United States,Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Database administrator; Systems administrator; DevOps specialist,Strongly disagree,500 to 999 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,Online course; On-the-job training; Self-taught,A natural science,Embedded applications/devices developer,Disagree,I don't know,Publicly-traded corporation,10
White or of European descent,Male,United States,Online course; Bootcamp; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Psychology,Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,Disagree,100 to 499 employees,I don't know,7
White or of European descent,Male,New Zealand,Online course; On-the-job training; Self-taught; Open source contributions,A non-computer-focused engineering discipline,Web developer; Desktop applications developer,Disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Netherlands,Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Mobile developer,Strongly disagree,I don't know,Publicly-traded corporation,8
White or of European descent,Female,United States,Bootcamp; On-the-job training; Self-taught; Hackathon; Open source contributions,A humanities discipline,Web developer; DevOps specialist,Disagree,20 to 99 employees,Venture-funded startup,10
Hispanic or Latino/Latina,Male,United States,Online course; Coding competition; Open source contributions,A non-computer-focused engineering discipline,Data scientist,Agree,10 000 or more employees,Publicly-traded corporation,9
White or of European descent,Male,United States,Online course; Bootcamp; On-the-job training; Self-taught; Hackathon,A social science,Web developer,Strongly disagree,20 to 99 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Gender non-conforming,United States,Online course; Self-taught; Open source contributions,Fine arts or performing arts,Web developer; Graphic designer; Other,Somewhat agree,100 to 499 employees,Non-profit/non-governmental organization or private school/university,5
White or of European descent,Male,Canada,On-the-job training; Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer,Somewhat agree,100 to 499 employees,Venture-funded startup,9
Native American  Pacific Islander  or Indigenous Australian,Male,United States,Online course; Bootcamp; On-the-job training; Self-taught; Open source contributions,Information technology  networking  or system administration,Web developer,Disagree,5 000 to 9 999 employees,Publicly-traded corporation,5
Middle Eastern,Male,Iran,Online course; Self-taught,Computer science or software engineering,Web developer; DevOps specialist,Disagree,Fewer than 10 employees,Venture-funded startup,10
White or of European descent,Male,Finland,Self-taught,Computer programming or Web development,Web developer; Systems administrator,Somewhat agree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,Canada,On-the-job training; Self-taught,A business discipline,Web developer,Strongly disagree,20 to 99 employees,Privately-held limited company  not in startup mode,9
South Asian,Male,Nepal,Self-taught; Hackathon,Computer science or software engineering,Web developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,9
I prefer not to say,Male,India,Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Graphic designer; Desktop applications developer; DevOps specialist,Agree,10 000 or more employees,I prefer not to answer,8
White or of European descent,Male,United States,On-the-job training; Self-taught; Open source contributions,Computer programming or Web development,Web developer; Quality assurance engineer,Somewhat agree,500 to 999 employees,Sole proprietorship or partnership  not in startup mode,6
East Asian,Male,Hong Kong,Online course; On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Mobile developer,Somewhat agree,10 000 or more employees,Publicly-traded corporation,6
I don’t know,Male,India,Online course; On-the-job training; Self-taught; Coding competition; Hackathon,Computer engineering or electrical/electronics engineering,Embedded applications/devices developer,Strongly disagree,10 000 or more employees,Privately-held limited company  not in startup mode,7
Black or of African descent,Male,Canada,Self-taught; Open source contributions,Computer science or software engineering,Web developer; Graphics programming; Desktop applications developer,Strongly disagree,5 000 to 9 999 employees,Publicly-traded corporation,10
South Asian,Male,Nepal,Online course; Self-taught; Hackathon,Information technology  networking  or system administration,Web developer; Developer with a statistics or mathematics background; Graphic designer,Agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male; Gender non-conforming,Finland,Self-taught; Hackathon,Computer science or software engineering,Web developer; Graphics programming; Graphic designer; Desktop applications developer,Somewhat agree,I don't know,I don't know,6
White or of European descent,Male,United States,Online course; Self-taught; Coding competition; Hackathon; Open source contributions,Management information systems,Web developer,Disagree,1 000 to 4 999 employees,Publicly-traded corporation,7
White or of European descent,Male,United States,Online course; Part-time/evening course; On-the-job training; Self-taught; Coding competition,A natural science,Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,Disagree,20 to 99 employees,Venture-funded startup,7
I prefer not to say,Female,India,Self-taught,Information technology  networking  or system administration,Mobile developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,Finland,Online course; On-the-job training; Self-taught,Computer science or software engineering,Web developer,Somewhat agree,5 000 to 9 999 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,New Zealand,Online course; Part-time/evening course; On-the-job training; Self-taught; Coding competition,A natural science,Web developer; Mobile developer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,United States,Self-taught,Computer science or software engineering,Web developer,Disagree,10 to 19 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United States,On-the-job training; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Web developer,Agree,10 000 or more employees,Privately-held limited company  not in startup mode,10
East Asian; South Asian,Male,Singapore,Online course; On-the-job training; Self-taught; Coding competition,Information technology  networking  or system administration,Web developer; Desktop applications developer,Agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,United States,On-the-job training; Self-taught,Computer science or software engineering,Web developer,Strongly disagree,10 to 19 employees,Privately-held limited company  not in startup mode,9
South Asian,Male,India,Bootcamp; Part-time/evening course; Self-taught; Coding competition; Hackathon; Open source contributions,Computer engineering or electrical/electronics engineering,Mobile developer,Disagree,5 000 to 9 999 employees,I prefer not to answer,4
White or of European descent,Male,Hungary,On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; DevOps specialist,Agree,10 to 19 employees,Privately-held limited company  not in startup mode,7
Middle Eastern,Male,Iran,Online course; Self-taught; Open source contributions,Computer science or software engineering,Machine learning specialist; Data scientist,Somewhat agree,10 to 19 employees,Venture-funded startup,6
White or of European descent,Male,Australia,Self-taught; Open source contributions,Computer science or software engineering,Other,Agree,100 to 499 employees,Privately-held limited company  not in startup mode,7
Black or of African descent,Male,Lesotho,Online course; Self-taught,Information technology  networking  or system administration,Web developer; Mobile developer; Desktop applications developer,Disagree,100 to 499 employees,Non-profit/non-governmental organization or private school/university,3
East Asian,Male,China,Self-taught; Hackathon,Computer science or software engineering,Mobile developer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,0
White or of European descent,Female,United States,Online course; Bootcamp; Part-time/evening course; On-the-job training; Self-taught,Computer engineering or electrical/electronics engineering,Web developer,Somewhat agree,I don't know,Publicly-traded corporation,8
White or of European descent,Male,Hungary,Online course; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Mobile developer; Database administrator; Systems administrator,Agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Germany,Online course,Computer science or software engineering,Web developer,Somewhat agree,500 to 999 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,Slovenia,Online course; On-the-job training,Computer science or software engineering,Web developer,Agree,100 to 499 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,New Zealand,Online course; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer,Disagree,Fewer than 10 employees,Venture-funded startup,8
White or of European descent,Male,Ukraine,Self-taught; Open source contributions,A non-computer-focused engineering discipline,Web developer; Graphics programming; Desktop applications developer,Agree,100 to 499 employees,Sole proprietorship or partnership  not in startup mode,8
South Asian,Male,India,Industry certification; Hackathon,Computer science or software engineering,Quality assurance engineer,Disagree,10 to 19 employees,Privately-held limited company  not in startup mode,8
South Asian,Male,India,Online course; Part-time/evening course; Self-taught,Computer engineering or electrical/electronics engineering,Embedded applications/devices developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,Somewhat agree,10 000 or more employees,I prefer not to answer,8
